BASIN,SUBBASIN,BASIN NAME,SUBBASIN NAME,SITE NO,SALTWATER INTRUSION,WL FREQUENCY,PERIOD (YEARS),WQ,WQ Frequency,TEL,FORMATION,LAT,LONG
3,32,Coopers Creek,Thompson River,93410A,No,1,3,Yes,,,HUTTON SANDSTONE,-21.7335,144.2071
3,32,Coopers Creek,Thompson River,93640A,No,1,3,Yes,,,HUTTON SANDSTONE,-21.8851,144.3567
3,32,Coopers Creek,Thompson River,10901A,No,1,3,Yes,,,RONLOW BEDS,-22.2656,145.1312
3,32,Coopers Creek,Thompson River,118797A,No,1,3,Yes,,,HUTTON SANDSTONE,-23.3419,144.7290
3,33,Coopers Creek,Barcoo River,15639A,No,1,3,Yes,,,PRECIPICE SANDSTONE,-24.5265,145.8946
3,33,Coopers Creek,Barcoo River,146368A,No,1,3,Yes,,,HUTTON SANDSTONE,-24.0405,145.3702
3,33,Coopers Creek,Barcoo River,330005A,No,2,1,,,Yes,HUTTON SANDSTONE,-24.5570,146.4451
3,32,Coopers Creek,Thompson River,14908A,No,1,3,Yes,,,RONLOW BEDS,-23.4127,145.4793
3,33,Coopers Creek,Barcoo River,5140A,No,1,3,Yes,,,HOORAY SANDSTONE,-24.8819,145.5490
3,32,Coopers Creek,Thompson River,51370A,No,1,3,Yes,,,RONLOW BEDS,-21.9778,145.2153
3,33,Coopers Creek,Barcoo River,118994A,No,1,3,Yes,,,HUTTON SANDSTONE,-24.2874,145.1192
11,112,Bulloo,Bulloo River,23349A,No,1,3,Yes,,,HOORAY SANDSTONE,-27.9054,143.3230
11,112,Bulloo,Bulloo River,9864A,No,1,3,Yes,,,HOORAY SANDSTONE,-28.8491,144.7619
11,112,Bulloo,Bulloo River,2080A,No,1,3,Yes,,,HOORAY SANDSTONE,-26.9224,144.5376
11,112,Bulloo,Bulloo River,15286A,No,1,3,Yes,,,WYANDRA SANDSTONE MEMBER,-28.6813,143.9382
11,112,Bulloo,Bulloo River,12900A,No,1,3,Yes,,,HOORAY SANDSTONE,-28.3068,143.9152
105,1051,Normanby,Normanby River,10510007A,No,2,1,,,Yes,HODGKINSON FORMATION,-15.8644,144.8322
105,1051,Normanby,Normanby River,10510004A,No,2,1,,,,HODGKINSON FORMATION,-15.8655,144.8059
105,1051,Normanby,Normanby River,10510009A,No,2,1,,,Yes,MCLEAN BASALT,-15.8523,144.8552
105,1051,Normanby,Normanby River,10510006A,No,2,1,,,,MCLEAN BASALT,-15.9126,144.8496
105,1051,Normanby,Normanby River,10510001A,No,4,1,Yes,,Yes,MCLEAN BASALT,-15.8335,144.8365
105,1051,Normanby,Normanby River,10510003A,No,2,1,,,Yes,HODGKINSON FORMATION,-15.8031,144.7226
105,1051,Normanby,Normanby River,10510002A,No,4,1,,,Yes,MCLEAN BASALT,-15.8114,144.8501
106,1060,Jeannie,Jeannie River,10600001A,No,2,1,,,,,-15.1186,145.0769
107,1070,Endeavour,Endeavour River,10700001A,No,2,1,,,,PIEBALD BASALT,-15.3964,145.0393
107,1070,Endeavour,Endeavour River,10700006A,No,2,1,,,Yes,PIEBALD BASALT,-15.2970,145.0775
107,1070,Endeavour,Endeavour River,10700005A,No,2,1,,,,HODGKINSON FORMATION,-15.4294,145.1119
107,1070,Endeavour,Endeavour River,10700002A,No,2,1,,,Yes,HODGKINSON FORMATION,-15.4420,145.1252
108,1080,Daintree,Daintree River,10800003A,No,4,1,,,,,-16.3470,145.4096
108,1080,Daintree,Daintree River,10800011A,No,4,1,,,,,-16.4295,145.4046
108,1080,Daintree,Daintree River,10800007A,No,4,1,Yes,,,,-16.3907,145.3952
108,1080,Daintree,Daintree River,10800018A,No,4,1,,,Yes,,-16.3908,145.3768
108,1080,Daintree,Daintree River,10800017A,No,4,1,Yes,,,,-16.4162,145.3851
108,1080,Daintree,Daintree River,10800009A,No,4,1,,,,,-16.4037,145.3773
108,1080,Daintree,Daintree River,10800019A,No,4,1,Yes,,,,-16.3801,145.3738
108,1080,Daintree,Daintree River,10800016A,No,4,1,,,,,-16.3714,145.3798
108,1080,Daintree,Daintree River,10800021B,No,4,1,,,,,-16.4201,145.4076
108,1080,Daintree,Daintree River,10800021A,No,4,1,,,,,-16.4201,145.4076
108,1080,Daintree,Daintree River,10800016B,No,4,1,,,,,-16.3714,145.3798
108,1080,Daintree,Daintree River,10800005A,No,4,1,,,,,-16.3748,145.3660
108,1080,Daintree,Daintree River,10800019B,No,4,1,,,,,-16.3801,145.3738
109,1090,Mossman,Mossman River,10900085A,No,4,1,,,Yes,HODGKINSON FORMATION,-16.7556,145.6622
109,1090,Mossman,Mossman River,10900037A,No,4,1,,,,,-16.5239,145.4680
109,1090,Mossman,Mossman River,10900061A,No,4,1,,,,,-16.4927,145.3888
109,1090,Mossman,Mossman River,10900025A,No,4,1,Yes,,,,-16.5104,145.4426
109,1090,Mossman,Mossman River,10900059A,No,4,1,,,,,-16.4744,145.3525
109,1090,Mossman,Mossman River,10900058A,No,4,1,,,,,-16.4419,145.3729
109,1090,Mossman,Mossman River,10900058B,No,4,1,,,,,-16.4419,145.3729
109,1090,Mossman,Mossman River,10900060B,No,4,1,,,,,-16.4473,145.3943
109,1090,Mossman,Mossman River,10900060A,No,4,1,,,,,-16.4473,145.3943
109,1090,Mossman,Mossman River,10900039A,No,4,1,,,,,-16.5634,145.4649
109,1090,Mossman,Mossman River,10900029A,No,4,1,,,,,-16.5426,145.4714
109,1090,Mossman,Mossman River,10900014A,No,4,1,,,,,-16.4604,145.3783
109,1090,Mossman,Mossman River,10900038A,No,4,1,,,,,-16.5614,145.4674
109,1090,Mossman,Mossman River,10900068A,No,4,1,,,,,-16.5241,145.4681
109,1090,Mossman,Mossman River,10900016A,No,4,1,,,,,-16.4499,145.4049
109,1090,Mossman,Mossman River,10900024A,No,4,1,,,,,-16.5131,145.4387
109,1090,Mossman,Mossman River,10900011A,No,4,1,,,,,-16.4818,145.3917
109,1090,Mossman,Mossman River,10900013A,No,4,1,,,,,-16.4649,145.3733
109,1090,Mossman,Mossman River,10900032A,No,4,1,,,,,-16.5527,145.4822
109,1090,Mossman,Mossman River,10900007A,No,4,1,,,,,-16.5077,145.4051
109,1090,Mossman,Mossman River,10900035A,No,4,1,,,,,-16.5383,145.4589
109,1090,Mossman,Mossman River,10900028A,No,4,1,Yes,,,,-16.5314,145.4644
109,1090,Mossman,Mossman River,10900030A,No,4,1,,,Yes,,-16.5474,145.4722
109,1090,Mossman,Mossman River,10900012A,No,4,1,,,,,-16.4663,145.3663
109,1090,Mossman,Mossman River,10900010A,No,4,1,Yes,,Yes,,-16.4833,145.3886
109,1090,Mossman,Mossman River,10900019A,No,4,1,Yes,,,,-16.4835,145.4111
109,1090,Mossman,Mossman River,10900018A,No,4,1,,,,,-16.4658,145.4060
109,1090,Mossman,Mossman River,10900023A,No,4,1,,,,,-16.5053,145.4340
109,1090,Mossman,Mossman River,10900003A,No,4,1,,,,,-16.4360,145.3831
110,1100,Barron,Barron River,11000132A,No,6,1,,,,,-17.2028,145.4817
110,1100,Barron,Barron River,11000115A,No,6,1,Yes,,,ATHERTON BASALT,-17.1939,145.4958
110,1100,Barron,Barron River,11000161A,No,6,1,,,Yes,ATHERTON BASALT,-17.2752,145.5786
110,1100,Barron,Barron River,11000130A,No,6,1,Yes,,,ATHERTON BASALT,-17.2363,145.5070
110,1100,Barron,Barron River,11000104A,No,6,1,,,,,-17.3180,145.5490
110,1100,Barron,Barron River,11000046A,No,4,1,,,,,-16.8309,145.7178
110,1100,Barron,Barron River,11000046B,No,4,1,,,,,-16.8309,145.7178
110,1100,Barron,Barron River,11000053B,No,4,1,Yes,,,,-16.8685,145.7158
110,1100,Barron,Barron River,11000053A,No,4,1,Yes,,,,-16.8685,145.7158
110,1100,Barron,Barron River,11000119A,No,6,1,,,,ATHERTON BASALT,-17.2853,145.4961
110,1100,Barron,Barron River,11000068A,No,6,1,,,Yes,,-17.2514,145.5036
110,1100,Barron,Barron River,11000026A,No,4,1,,,,,-16.8558,145.6953
110,1100,Barron,Barron River,11000142A,No,6,1,,,,ATHERTON BASALT,-17.2111,145.4761
110,1100,Barron,Barron River,11000162A,No,6,1,,,Yes,ATHERTON BASALT,-17.3087,145.5350
110,1100,Barron,Barron River,11000135A,No,6,1,,,,,-17.2482,145.4795
110,1100,Barron,Barron River,11000069A,No,4,1,,,,,-16.9084,145.4176
110,1100,Barron,Barron River,11000118A,No,6,1,,,,ATHERTON BASALT,-17.2558,145.5244
110,1100,Barron,Barron River,11000048B,No,4,1,,,,,-16.8282,145.7290
110,1100,Barron,Barron River,11000048A,No,4,1,,,,,-16.8282,145.7290
110,1100,Barron,Barron River,11000050A,No,4,1,,,,,-16.8429,145.7393
110,1100,Barron,Barron River,11000050B,No,4,1,,,,,-16.8429,145.7393
110,1100,Barron,Barron River,11000113A,No,4,1,,,,,-16.8854,145.4111
110,1100,Barron,Barron River,11000060A,No,6,1,,,Yes,,-17.2706,145.5233
110,1100,Barron,Barron River,11000148A,No,6,1,,,Yes,ATHERTON BASALT,-17.3046,145.5742
110,1100,Barron,Barron River,11000138A,No,6,1,,,Yes,,-17.2822,145.6069
110,1100,Barron,Barron River,11000015A,No,4,1,,,,,-16.8202,145.7201
110,1100,Barron,Barron River,11000155A,No,6,1,Yes,,,BARRON RIVER ALLUVIUM,-16.8481,145.6978
110,1100,Barron,Barron River,11000056A,No,6,1,,,Yes,,-17.2331,145.4708
110,1100,Barron,Barron River,11000111A,No,4,1,,,,,-16.9644,145.4103
110,1100,Barron,Barron River,11000116A,No,6,1,,,,BARRON RIVER METAMORPHICS,-17.2042,145.5261
110,1100,Barron,Barron River,11000131A,No,6,1,,,,,-17.1844,145.4636
110,1100,Barron,Barron River,11000129A,No,6,1,,,,ATHERTON BASALT,-17.2092,145.4850
110,1100,Barron,Barron River,11000147A,No,6,1,,,Yes,,-17.2886,145.5694
110,1100,Barron,Barron River,11000159A,No,6,1,,,Yes,ATHERTON BASALT,-17.3083,145.5348
110,1100,Barron,Barron River,11000126A,No,6,1,,,,ATHERTON BASALT,-17.2170,145.4795
110,1100,Barron,Barron River,11000133A,No,6,1,,,,,-17.2140,145.5093
110,1100,Barron,Barron River,11000061A,No,6,1,Yes,,,,-17.2422,145.5183
110,1100,Barron,Barron River,11000134A,No,6,1,,,,,-17.2156,145.5356
110,1100,Barron,Barron River,11000143A,No,6,1,,,,ATHERTON BASALT,-17.2131,145.4756
110,1100,Barron,Barron River,11000143B,No,6,1,,,,ATHERTON BASALT,-17.2131,145.4756
110,1100,Barron,Barron River,11000055A,No,6,1,,,,,-17.2325,145.4619
110,1100,Barron,Barron River,11000157A,No,6,1,Yes,,Yes,ATHERTON BASALT,-17.2940,145.5922
110,1100,Barron,Barron River,11000125A,No,6,1,,,,ATHERTON BASALT,-17.1933,145.5075
110,1100,Barron,Barron River,11000064A,No,6,1,,,Yes,,-17.2200,145.4947
110,1100,Barron,Barron River,11000027A,No,4,1,,,,,-16.8576,145.6972
110,1100,Barron,Barron River,11000033A,No,4,1,Yes,,,,-16.8620,145.7345
110,1100,Barron,Barron River,11000117A,No,6,1,,,,ATHERTON BASALT,-17.2333,145.4986
110,1100,Barron,Barron River,11000062A,No,6,1,,,Yes,,-17.2333,145.5361
110,1100,Barron,Barron River,11000137A,No,6,1,Yes,,,,-17.1803,145.4875
110,1100,Barron,Barron River,11000164A,No,6,1,,,Yes,ATHERTON BASALT,-17.3110,145.4832
110,1100,Barron,Barron River,11000154A,No,6,1,Yes,,,BARRON RIVER ALLUVIUM,-16.8481,145.6978
110,1100,Barron,Barron River,11000037A,No,4,1,,,,,-16.8767,145.7005
110,1100,Barron,Barron River,11000105A,No,6,1,,,,,-17.3675,145.5417
110,1100,Barron,Barron River,11000156A,No,6,1,,,,BARRON RIVER ALLUVIUM,-16.8503,145.7167
110,1100,Barron,Barron River,11000066A,No,6,1,,,Yes,,-17.2149,145.5492
110,1100,Barron,Barron River,11000127A,No,6,1,,,,ATHERTON BASALT,-17.2173,145.4795
110,1100,Barron,Barron River,11000128A,No,6,1,,,,ATHERTON BASALT,-17.2092,145.4850
110,1100,Barron,Barron River,11000038A,No,4,1,,,,,-16.8709,145.7072
110,1100,Barron,Barron River,11000103A,No,6,1,Yes,,,,-17.3019,145.5554
110,1100,Barron,Barron River,11000120A,No,6,1,,,,MAREEBA GRANITE,-17.2933,145.5184
110,1100,Barron,Barron River,11000139A,No,6,1,,,,,-17.4317,145.4937
110,1100,Barron,Barron River,11000144A,No,6,1,,,,ATHERTON BASALT,-17.2118,145.4754
110,1100,Barron,Barron River,11000145A,No,6,1,,,,,-17.2111,145.4779
110,1100,Barron,Barron River,11000146A,No,6,1,,,Yes,ATHERTON BASALT,-17.2501,145.5041
110,1100,Barron,Barron River,11000067A,No,6,1,Yes,,,,-17.2817,145.5108
110,1100,Barron,Barron River,11000136A,No,6,1,,,,,-17.1939,145.4958
110,1100,Barron,Barron River,11000151A,No,6,1,Yes,,,ATHERTON BASALT,-17.2616,145.5379
110,1100,Barron,Barron River,11000140A,No,6,1,,,,,-17.3445,145.5035
111,1111,Mulgrave - Russell,Russell River,11110026A,No,4,1,,,,,-17.4079,145.9517
111,1110,Mulgrave - Russell,Mulgrave River,11100025A,No,4,1,,,,,-17.0705,145.8024
111,1110,Mulgrave - Russell,Mulgrave River,11100038A,No,4,1,Yes,,,,-17.0868,145.8263
111,1110,Mulgrave - Russell,Mulgrave River,11100048A,No,4,1,Yes,,Yes,,-17.1337,145.8572
111,1110,Mulgrave - Russell,Mulgrave River,11100049A,No,4,1,,,,,-17.1401,145.8704
111,1110,Mulgrave - Russell,Mulgrave River,11100073B,No,4,1,,,,,-17.0056,145.8217
111,1110,Mulgrave - Russell,Mulgrave River,11100073A,No,4,1,,,,,-17.0056,145.8217
111,1111,Mulgrave - Russell,Russell River,11110029B,No,4,1,,,,,-17.4061,145.9203
111,1111,Mulgrave - Russell,Russell River,11110029A,No,4,1,,,,,-17.4061,145.9203
111,1111,Mulgrave - Russell,Russell River,11110033A,No,4,1,Yes,,,,-17.4018,145.9107
111,1110,Mulgrave - Russell,Mulgrave River,11100035A,No,4,1,,,,,-17.0868,145.8259
111,1110,Mulgrave - Russell,Mulgrave River,11100057A,No,4,1,,,,,-17.0526,145.7828
111,1111,Mulgrave - Russell,Russell River,11110009A,No,4,1,Yes,,,,-17.3486,145.9350
111,1111,Mulgrave - Russell,Russell River,11110009B,No,4,1,,,,,-17.3486,145.9350
111,1110,Mulgrave - Russell,Mulgrave River,11100019A,No,4,1,Yes,,,,-17.0644,145.8197
111,1110,Mulgrave - Russell,Mulgrave River,11100106A,No,4,1,Yes,,,MULGRAVE RIVER ALLUVIUM,-17.2035,145.9133
111,1110,Mulgrave - Russell,Mulgrave River,11100107A,No,4,1,,,,MULGRAVE RIVER ALLUVIUM,-17.1270,145.8235
111,1110,Mulgrave - Russell,Mulgrave River,11100054A,No,4,1,,,,,-17.1877,145.9024
111,1111,Mulgrave - Russell,Russell River,11110004A,No,4,1,Yes,,,,-17.3961,145.9462
111,1110,Mulgrave - Russell,Mulgrave River,11100018A,No,4,1,,,Yes,,-17.0630,145.8079
111,1110,Mulgrave - Russell,Mulgrave River,11100079B,No,4,1,,,,,-17.0269,145.8058
111,1110,Mulgrave - Russell,Mulgrave River,11100079A,No,4,1,,,,,-17.0269,145.8058
111,1111,Mulgrave - Russell,Russell River,11110050A,No,4,1,Yes,,,ATHERTON BASALT,-17.2727,145.9432
111,1111,Mulgrave - Russell,Russell River,11110030A,No,4,1,,,,,-17.2751,145.9366
111,1111,Mulgrave - Russell,Russell River,11110030B,No,4,1,,,,,-17.2751,145.9366
111,1111,Mulgrave - Russell,Russell River,11110001A,No,4,1,,,,,-17.3513,145.9276
111,1111,Mulgrave - Russell,Russell River,11110001B,No,4,1,,,,,-17.3513,145.9276
111,1110,Mulgrave - Russell,Mulgrave River,11100074A,No,4,1,,,,,-17.0745,145.8350
111,1111,Mulgrave - Russell,Russell River,11110023A,No,4,1,Yes,,,,-17.4093,145.9823
111,1111,Mulgrave - Russell,Russell River,11110023B,No,4,1,,,,,-17.4093,145.9823
111,1111,Mulgrave - Russell,Russell River,11110048A,No,4,1,,,,RUSSELL RIVER ALLUVIUM,-17.3197,145.9488
111,1110,Mulgrave - Russell,Mulgrave River,11100098A,No,4,1,,,,,-17.1020,145.8447
111,1111,Mulgrave - Russell,Russell River,11110049A,No,4,1,Yes,,,RUSSELL RIVER ALLUVIUM,-17.2728,145.9432
111,1110,Mulgrave - Russell,Mulgrave River,11100076A,No,4,1,,,,,-17.1017,145.7963
111,1110,Mulgrave - Russell,Mulgrave River,11100103A,No,4,1,Yes,,,MULGRAVE RIVER ALLUVIUM,-17.1651,145.8969
111,1111,Mulgrave - Russell,Russell River,11110011A,No,4,1,,,,,-17.3659,145.9185
111,1110,Mulgrave - Russell,Mulgrave River,11100070A,No,4,1,,,,,-17.0677,145.7829
111,1111,Mulgrave - Russell,Russell River,11110003A,No,4,1,,,,,-17.3905,145.9597
111,1110,Mulgrave - Russell,Mulgrave River,11100016A,No,4,1,,,,,-17.0564,145.7949
111,1110,Mulgrave - Russell,Mulgrave River,11100081A,No,4,1,,,,,-17.2185,145.9162
111,1110,Mulgrave - Russell,Mulgrave River,11100081B,No,4,1,,,,,-17.2185,145.9162
111,1110,Mulgrave - Russell,Mulgrave River,11100044A,No,4,1,Yes,,Yes,,-17.1159,145.8380
111,1110,Mulgrave - Russell,Mulgrave River,11100104A,No,4,1,,,Yes,MULGRAVE RIVER ALLUVIUM,-17.1567,145.8678
111,1110,Mulgrave - Russell,Mulgrave River,11100033A,No,4,1,Yes,,,,-17.0815,145.8048
111,1111,Mulgrave - Russell,Russell River,11110005A,No,4,1,,,,,-17.4041,145.9317
111,1110,Mulgrave - Russell,Mulgrave River,11100102A,No,4,1,,,,STONY CREEK ALLUVIUM,-17.0458,145.7389
111,1110,Mulgrave - Russell,Mulgrave River,11100108A,No,4,1,,,,MULGRAVE RIVER ALLUVIUM,-17.1271,145.8234
111,1110,Mulgrave - Russell,Mulgrave River,11100075A,No,4,1,Yes,,,,-17.0997,145.7795
111,1110,Mulgrave - Russell,Mulgrave River,11100101A,No,4,1,,,,MULGRAVE RIVER ALLUVIUM,-17.0391,145.8251
111,1110,Mulgrave - Russell,Mulgrave River,11100099A,No,4,1,,,,MULGRAVE RIVER ALLUVIUM,-17.2073,145.9263
111,1110,Mulgrave - Russell,Mulgrave River,11100100A,No,4,1,Yes,,,WRIGHTS CREEK ALLUVIUM,-17.0259,145.7709
111,1110,Mulgrave - Russell,Mulgrave River,11100105A,No,4,1,,,,GREENHILL BASALT,-17.0391,145.8251
111,1110,Mulgrave - Russell,Mulgrave River,11100009A,No,4,1,Yes,,,,-17.0355,145.7929
111,1111,Mulgrave - Russell,Russell River,11110014A,No,4,1,Yes,,,,-17.3562,145.9124
111,1110,Mulgrave - Russell,Mulgrave River,11100058A,No,4,1,Yes,,,,-17.0512,145.7731
111,1110,Mulgrave - Russell,Mulgrave River,11100059A,No,4,1,,,Yes,,-17.0820,145.7757
111,1110,Mulgrave - Russell,Mulgrave River,11100072A,No,4,1,Yes,,,,-17.0174,145.7979
111,1110,Mulgrave - Russell,Mulgrave River,11100072B,No,4,1,Yes,,,,-17.0174,145.7979
112,1121,Johnstone,South Johnstone River,11210054A,No,4,1,,,Yes,,-17.7358,145.9901
112,1120,Johnstone,North Johnstone River,11200029A,No,4,1,Yes,,,,-17.3385,145.6442
112,1120,Johnstone,North Johnstone River,11200146A,No,4,1,,,,,-17.3553,145.5833
112,1121,Johnstone,South Johnstone River,11210078A,No,4,1,,,,,-17.6155,146.0723
112,1121,Johnstone,South Johnstone River,11210007A,No,4,1,Yes,,,,-17.5151,145.9948
112,1121,Johnstone,South Johnstone River,11210051A,No,4,1,Yes,,,,-17.7337,145.9516
112,1121,Johnstone,South Johnstone River,11210075A,No,4,1,Yes,,,,-17.7643,146.0679
112,1121,Johnstone,South Johnstone River,11210086A,No,4,1,Yes,,Yes,,-17.5525,145.9965
112,1121,Johnstone,South Johnstone River,11210019A,No,4,1,Yes,,,,-17.5869,146.0971
112,1120,Johnstone,North Johnstone River,11200010A,No,4,1,,,Yes,,-17.5068,146.0050
112,1120,Johnstone,North Johnstone River,11200144A,No,4,1,,,,,-17.3610,145.6226
112,1120,Johnstone,North Johnstone River,11200019A,No,4,1,Yes,,,ATHERTON BASALT,-17.3767,145.6637
112,1121,Johnstone,South Johnstone River,11210055A,No,4,1,,,,,-17.7429,146.0153
112,1121,Johnstone,South Johnstone River,11210087A,No,4,1,Yes,,,,-17.6915,146.0749
112,1121,Johnstone,South Johnstone River,11210060A,No,4,1,,,,,-17.7067,146.0164
112,1120,Johnstone,North Johnstone River,11200002A,No,4,1,,,,,-17.4814,145.9918
112,1121,Johnstone,South Johnstone River,11210103A,No,4,1,Yes,,,,-17.5782,146.0766
112,1120,Johnstone,North Johnstone River,11200024A,No,4,1,,,,ATHERTON BASALT,-17.3389,145.6251
112,1121,Johnstone,South Johnstone River,11210013A,No,4,1,,,,,-17.5472,146.0487
112,1121,Johnstone,South Johnstone River,11210057A,No,4,1,Yes,,,,-17.8071,146.0026
112,1121,Johnstone,South Johnstone River,11210061A,No,4,1,Yes,,,,-17.6123,146.0310
112,1120,Johnstone,North Johnstone River,11200006A,No,4,1,Yes,,,,-17.5051,146.0479
112,1121,Johnstone,South Johnstone River,11210048A,No,4,1,,,,,-17.6443,146.0364
112,1121,Johnstone,South Johnstone River,11210004A,No,4,1,Yes,,,LIVERPOOL CREEK ALLUVIUM,-17.7314,146.0091
112,1120,Johnstone,North Johnstone River,11000158A,No,6,1,Yes,,,ATHERTON BASALT,-17.3413,145.5663
112,1121,Johnstone,South Johnstone River,11210025A,No,4,1,,,,,-17.6280,146.0290
112,1121,Johnstone,South Johnstone River,11210056A,No,4,1,Yes,,,,-17.7555,145.9876
112,1121,Johnstone,South Johnstone River,11210080A,No,4,1,,,,,-17.5782,146.0766
112,1121,Johnstone,South Johnstone River,11210072A,No,4,1,Yes,,,,-17.5799,146.0041
